id,produto,affiliation,index,item_brand,item_category,item_list_name,preco,moeda,data_extracao
241363,Aerofólio - TG Poli - Celta 2000 até 2006 - com brake-light - 30 leds - para pintar - traseiro - cada (unidade) - 03.309,Internet,2,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 2,382.5,BRL,2025-10-13 10:28:42.498218
243220,Aerofólio - TG Poli - Onix 2012 até 2019 - Joy 2020 até 2022 - preto para pintar - traseiro - cada (unidade) - 03.340,Internet,3,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 2,215.1,BRL,2025-10-13 10:28:42.498218
251405,Aerofólio - TG Poli - Corsa 1994 até 2001 - (pintado) - sem led - 2 porta - traseiro - cada (unidade) - 03.297,Internet,4,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 2,243.9,BRL,2025-10-13 10:28:42.498218
251406,Aerofólio - TG Poli - Corsa 1994 até 2001 - preto para pintar - sem led - 4 porta - traseiro - cada (unidade) - 03.298,Internet,5,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 2,160.65,BRL,2025-10-13 10:28:42.498218
251419,Aerofólio - TG Poli - Corsa 2003 até 2012 - preto para pintar - sem LED - cada (unidade) - 03.288,Internet,6,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 2,287.1,BRL,2025-10-13 10:28:42.498218
422150,Aerofólio - TG Poli - Palio 2008 até 2011 - preto para pintar - sem LED - traseiro - cada (unidade) - 04.184,Internet,7,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 2,287.1,BRL,2025-10-13 10:28:42.498218
422199,Aerofólio - TG Poli - Palio 2001 até 2003 - com 30 leds - preto - para pintar - cada (unidade) - 422199,Internet,8,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 2,373.5,BRL,2025-10-13 10:28:42.498218
422314,Aerofólio - TG Poli - Palio 2004 até 2007 - Fire/Economy 2007 até 2017 - sem led - 2 e 4 portas - Prata aluminium - cada (unidade) - 04.191,Internet,9,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 2,270.9,BRL,2025-10-13 10:28:42.498218
9147,Aerofólio - TG Poli - Golf 1999 até 2007 - preto para pintar - sem LED - cada (unidade) - 02.124,Internet,10,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 2,158.4,BRL,2025-10-13 10:28:42.498218
50440,Aerofólio - Burg - C3 2003 até 2012 - sem brake-light - para pintar - cada (unidade) - AB0015,Internet,11,Burg,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 2,151.2,BRL,2025-10-13 10:28:42.498218
42757,Aerofólio - TG Poli - Palio 1996 até 2000 - preto para pintar - com 30 leds - cada (unidade) - 04.033,Internet,12,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 2,216.9,BRL,2025-10-13 10:28:42.498218
